date,min_temp,max_temp,latitude,longitude,station
2021-04-11,2.4,6.1,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-12,4.9,9.9,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-13,2.8,6.5,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-14,0.5,6.5,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-15,0.7,9.4,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-16,2.4,11.4,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-17,4.8,12.9,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-18,4.6,12.6,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-19,4.7,11.0,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-20,2.5,9.7,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-21,3.2,8.8,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-22,2.8,10.3,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-23,0.8,4.3,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-24,1.2,3.8,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-25,1.0,6.5,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-26,1.4,5.1,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-27,1.5,5.3,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-28,0.2,6.5,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-29,-1.2,7.7,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-30,-1.0,9.0,60.30373,25.54916,Porvoo Kilpilahti satama
2021-04-11,-1.7,7.7,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-12,3.9,7.5,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-13,-0.2,5.2,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-14,-3.3,6.0,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-15,-4.4,9.0,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-16,-0.2,11.5,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-17,0.3,14.5,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-18,-1.9,15.2,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-19,-2.2,13.2,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-20,-1.6,11.7,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-21,-2.0,10.0,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-22,1.3,5.5,60.12735,19.90038,Jomala Maarianhamina lentoasema
2021-04-23,1.4,5.2,60.12735,19.90038,Jomala Maarianhamina lentoasema
